Global Land and Ocean December Average Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Date,Anomaly
197901,0.16
197902,-0.05
197903,0.17
197904,0.09
197905,0.14
197906,0.19
197907,0.12
197908,0.21
197909,0.27
197910,0.28
197911,0.27
197912,0.51
198001,0.37
198002,0.46
198003,0.35
198004,0.34
198005,0.39
198006,0.27
198007,0.31
198008,0.28
198009,0.25
198010,0.19
198011,0.26
198012,0.23
198101,0.52
198102,0.43
198103,0.47
198104,0.34
198105,0.28
198106,0.33
198107,0.32
198108,0.34
198109,0.22
198110,0.25
198111,0.29
198112,0.46
198201,0.09
198202,0.21
198203,0.05
198204,0.15
198205,0.17
198206,0.10
198207,0.18
198208,0.11
198209,0.20
198210,0.16
198211,0.16
198212,0.44
198301,0.49
198302,0.45
198303,0.42
198304,0.28
198305,0.37
198306,0.30
198307,0.23
198308,0.36
198309,0.42
198310,0.22
198311,0.35
198312,0.23
198401,0.30
198402,0.19
198403,0.30
198404,0.12
198405,0.36
198406,0.10
198407,0.17
198408,0.21
198409,0.24
198410,0.16
198411,0.08
198412,0.01
198501,0.28
198502,0.04
198503,0.21
198504,0.14
198505,0.19
198506,0.19
198507,0.04
198508,0.17
198509,0.17
198510,0.13
198511,0.11
198512,0.19
198601,0.28
198602,0.39
198603,0.30
198604,0.25
198605,0.27
198606,0.17
198607,0.17
198608,0.19
198609,0.12
198610,0.17
198611,0.13
198612,0.21
198701,0.34
198702,0.38
198703,0.20
198704,0.26
198705,0.31
198706,0.36
198707,0.48
198708,0.31
198709,0.40
198710,0.33
198711,0.26
198712,0.45
198801,0.54
198802,0.46
198803,0.52
198804,0.45
198805,0.46
198806,0.43
198807,0.36
198808,0.40
198809,0.38
198810,0.36
198811,0.14
198812,0.28
198901,0.10
198902,0.32
198903,0.32
198904,0.31
198905,0.20
198906,0.22
198907,0.30
198908,0.33
198909,0.39
198910,0.31
198911,0.17
198912,0.41
199001,0.38
199002,0.38
199003,0.75
199004,0.61
199005,0.51
199006,0.39
199007,0.41
199008,0.35
199009,0.32
199010,0.42
199011,0.41
199012,0.41
199101,0.40
199102,0.50
199103,0.37
199104,0.52
199105,0.42
199106,0.54
199107,0.48
199108,0.41
199109,0.42
199110,0.32
199111,0.30
199112,0.29
199201,0.43
199202,0.43
199203,0.47
199204,0.29
199205,0.34
199206,0.29
199207,0.14
199208,0.10
199209,0.03
199210,0.06
199211,0.04
199212,0.20
199301,0.33
199302,0.39
199303,0.36
199304,0.32
199305,0.30
199306,0.31
199307,0.26
199308,0.18
199309,0.19
199310,0.25
199311,0.08
199312,0.20
199401,0.22
199402,0.06
199403,0.30
199404,0.39
199405,0.33
199406,0.43
199407,0.32
199408,0.24
199409,0.35
199410,0.44
199411,0.43
199412,0.38
199501,0.54
199502,0.76
199503,0.51
199504,0.50
199505,0.33
199506,0.46
199507,0.49
199508,0.53
199509,0.41
199510,0.43
199511,0.46
199512,0.30
199601,0.27
199602,0.49
199603,0.38
199604,0.34
199605,0.33
199606,0.29
199607,0.37
199608,0.45
199609,0.28
199610,0.20
199611,0.39
199612,0.36
199701,0.26
199702,0.37
199703,0.51
199704,0.39
199705,0.39
199706,0.56
199707,0.42
199708,0.46
199709,0.61
199710,0.64
199711,0.62
199712,0.58
199801,0.59
199802,0.81
199803,0.64
199804,0.72
199805,0.70
199806,0.73
199807,0.70
199808,0.71
199809,0.50
199810,0.44
199811,0.44
199812,0.58
199901,0.47
199902,0.64
199903,0.37
199904,0.37
199905,0.32
199906,0.41
199907,0.38
199908,0.38
199909,0.42
199910,0.34
199911,0.36
199912,0.46
200001,0.31
200002,0.55
200003,0.53
200004,0.59
200005,0.36
200006,0.38
200007,0.40
200008,0.44
200009,0.44
200010,0.31
200011,0.30
200012,0.30
200101,0.45
200102,0.43
200103,0.55
200104,0.53
200105,0.57
200106,0.53
200107,0.62
200108,0.54
200109,0.55
200110,0.49
200111,0.68
200112,0.62
200201,0.68
200202,0.68
200203,0.83
200204,0.56
200205,0.65
200206,0.58
200207,0.64
200208,0.56
200209,0.61
200210,0.57
200211,0.57
200212,0.51
200301,0.72
200302,0.62
200303,0.59
200304,0.57
200305,0.60
200306,0.49
200307,0.57
200308,0.64
200309,0.68
200310,0.74
200311,0.56
200312,0.74
200401,0.62
200402,0.71
200403,0.67
200404,0.61
200405,0.39
200406,0.44
200407,0.36
200408,0.49
200409,0.55
200410,0.62
200411,0.70
200412,0.53
200501,0.76
200502,0.63
200503,0.75
200504,0.69
200505,0.66
200506,0.67
200507,0.64
200508,0.60
200509,0.70
200510,0.73
200511,0.77
200512,0.72
200601,0.60
200602,0.76
200603,0.66
